Country,Year,Encounters
ADMIRALTY ISLANDS,1962,1
AFRICA,1846,1
ALGERIA,1844,1
AMERICAN SAMOA,1954,1
AMERICAN SAMOA,1955,1
AMERICAN SAMOA,1958,1
ANDAMAN / NICOBAR ISLANDAS,1958,1
ANDAMAN ISLANDS,1863,1
ANGOLA,1993,1
ANTIGUA,1808,1
ANTIGUA,2011,1
ARGENTINA,1954,1
ARUBA,2015,1
ATLANTIC OCEAN,1852,1
ATLANTIC OCEAN,1882,1
ATLANTIC OCEAN,1885,1
ATLANTIC OCEAN,1890,1
ATLANTIC OCEAN,1892,1
ATLANTIC OCEAN,1916,1
ATLANTIC OCEAN,1941,1
ATLANTIC OCEAN,1942,3
ATLANTIC OCEAN,1959,1
ATLANTIC OCEAN,1961,1
ATLANTIC OCEAN,1963,1
ATLANTIC OCEAN,2005,1
ATLANTIC OCEAN,2006,2
ATLANTIC OCEAN,2015,1
AUSTRALIA,5,1
AUSTRALIA,1788,1
AUSTRALIA,1791,1
AUSTRALIA,1803,1
AUSTRALIA,1804,1
AUSTRALIA,1807,1
AUSTRALIA,1825,2
AUSTRALIA,1831,1
AUSTRALIA,1832,2
AUSTRALIA,1836,1
AUSTRALIA,1837,1
AUSTRALIA,1839,2
AUSTRALIA,1840,2
AUSTRALIA,1841,1
AUSTRALIA,1842,1
AUSTRALIA,1845,1
AUSTRALIA,1847,3
AUSTRALIA,1849,4
AUSTRALIA,1852,2
AUSTRALIA,1853,2
AUSTRALIA,1855,4
AUSTRALIA,1856,1
AUSTRALIA,1858,1
AUSTRALIA,1860,1
AUSTRALIA,1861,1
AUSTRALIA,1862,1
AUSTRALIA,1863,3
AUSTRALIA,1864,1
AUSTRALIA,1865,1
AUSTRALIA,1866,1
AUSTRALIA,1867,1
AUSTRALIA,1868,2
AUSTRALIA,1869,1
AUSTRALIA,1870,3
AUSTRALIA,1871,4
AUSTRALIA,1872,1
AUSTRALIA,1873,2
AUSTRALIA,1874,2
AUSTRALIA,1875,3
AUSTRALIA,1876,4
AUSTRALIA,1877,8
AUSTRALIA,1878,2
AUSTRALIA,1879,2
AUSTRALIA,1880,4
AUSTRALIA,1881,1
AUSTRALIA,1882,6
AUSTRALIA,1883,5
AUSTRALIA,1884,2
AUSTRALIA,1885,2
AUSTRALIA,1886,6
AUSTRALIA,1887,2
AUSTRALIA,1888,5
AUSTRALIA,1889,2
AUSTRALIA,1890,2
AUSTRALIA,1891,1
AUSTRALIA,1892,4
AUSTRALIA,1893,2
AUSTRALIA,1894,1
AUSTRALIA,1895,6
AUSTRALIA,1896,4
AUSTRALIA,1898,2
AUSTRALIA,1899,3
AUSTRALIA,1900,3
AUSTRALIA,1901,2
AUSTRALIA,1902,3
AUSTRALIA,1903,4
AUSTRALIA,1904,1
AUSTRALIA,1905,6
AUSTRALIA,1906,5
AUSTRALIA,1907,5
AUSTRALIA,1908,1
AUSTRALIA,1909,4
AUSTRALIA,1910,4
AUSTRALIA,1911,3
AUSTRALIA,1912,5
AUSTRALIA,1913,4
AUSTRALIA,1914,5
AUSTRALIA,1915,6
AUSTRALIA,1916,8
AUSTRALIA,1917,1
AUSTRALIA,1918,3
AUSTRALIA,1919,7
AUSTRALIA,1920,7
AUSTRALIA,1921,6
AUSTRALIA,1922,9
AUSTRALIA,1923,14
AUSTRALIA,1924,6
AUSTRALIA,1925,4
AUSTRALIA,1926,5
AUSTRALIA,1927,11
AUSTRALIA,1928,9
AUSTRALIA,1929,24
AUSTRALIA,1930,10
AUSTRALIA,1931,9
AUSTRALIA,1932,10
AUSTRALIA,1933,12
AUSTRALIA,1934,16
AUSTRALIA,1935,17
AUSTRALIA,1936,21
AUSTRALIA,1937,18
AUSTRALIA,1938,9
AUSTRALIA,1939,9
AUSTRALIA,1940,10
AUSTRALIA,1941,4
AUSTRALIA,1942,8
AUSTRALIA,1943,2
AUSTRALIA,1944,4
AUSTRALIA,1945,1
AUSTRALIA,1946,11
AUSTRALIA,1947,13
AUSTRALIA,1948,6
AUSTRALIA,1949,15
AUSTRALIA,1950,13
AUSTRALIA,1951,9
AUSTRALIA,1952,5
AUSTRALIA,1953,12
AUSTRALIA,1954,6
AUSTRALIA,1955,9
AUSTRALIA,1956,10
AUSTRALIA,1957,7
AUSTRALIA,1958,5
AUSTRALIA,1959,20
AUSTRALIA,1960,21
AUSTRALIA,1961,24
AUSTRALIA,1962,20
AUSTRALIA,1963,11
AUSTRALIA,1964,9
AUSTRALIA,1965,5
AUSTRALIA,1966,17
AUSTRALIA,1967,10
AUSTRALIA,1968,8
AUSTRALIA,1969,9
AUSTRALIA,1970,1
AUSTRALIA,1971,7
AUSTRALIA,1972,10
AUSTRALIA,1973,5
AUSTRALIA,1974,4
AUSTRALIA,1975,14
AUSTRALIA,1976,5
AUSTRALIA,1977,9
AUSTRALIA,1978,3
AUSTRALIA,1979,1
AUSTRALIA,1980,1
AUSTRALIA,1981,4
AUSTRALIA,1982,2
AUSTRALIA,1983,4
AUSTRALIA,1984,3
AUSTRALIA,1985,2
AUSTRALIA,1986,5
AUSTRALIA,1987,5
AUSTRALIA,1988,7
AUSTRALIA,1989,13
AUSTRALIA,1990,9
AUSTRALIA,1991,7
AUSTRALIA,1992,6
AUSTRALIA,1993,7
AUSTRALIA,1994,3
AUSTRALIA,1995,8
AUSTRALIA,1996,12
AUSTRALIA,1997,10
AUSTRALIA,1998,5
AUSTRALIA,1999,3
AUSTRALIA,2e3,18
AUSTRALIA,2001,13
AUSTRALIA,2002,13
AUSTRALIA,2003,10
AUSTRALIA,2004,17
AUSTRALIA,2005,21
AUSTRALIA,2006,14
AUSTRALIA,2007,19
AUSTRALIA,2008,20
AUSTRALIA,2009,28
AUSTRALIA,2010,18
AUSTRALIA,2011,20
AUSTRALIA,2012,26
AUSTRALIA,2013,20
AUSTRALIA,2014,29
AUSTRALIA,2015,31
AUSTRALIA,2016,32
AUSTRALIA,2017,23
AUSTRALIA,2018,25
AZORES,1872,1
AZORES,1930,1
AZORES,1959,1
AZORES,2009,1
AZORES,2010,1
