Country,Year,Encounters
USA,1642,1
USA,1751,1
USA,1771,1
USA,1779,1
USA,1780,1
USA,1803,1
USA,1805,1
USA,1810,1
USA,1816,1
USA,1817,1
USA,1828,1
USA,1829,1
USA,1830,1
USA,1831,1
USA,1837,3
USA,1840,1
USA,1842,2
USA,1845,2
USA,1847,4
USA,1848,2
USA,1849,2
USA,1850,1
USA,1851,2
USA,1852,2
USA,1853,5
USA,1855,1
USA,1857,1
USA,1858,3
USA,1859,1
USA,1860,1
USA,1862,1
USA,1863,2
USA,1864,2
USA,1865,2
USA,1866,1
USA,1870,1
USA,1871,2
USA,1872,1
USA,1873,1
USA,1874,2
USA,1876,2
USA,1878,3
USA,1879,2
USA,1880,2
USA,1881,4
USA,1882,1
USA,1883,5
USA,1884,2
USA,1885,3
USA,1886,4
USA,1887,1
USA,1888,1
USA,1889,4
USA,1890,2
USA,1891,2
USA,1892,1
USA,1894,8
USA,1895,3
USA,1896,4
USA,1897,4
USA,1898,6
USA,1899,4
USA,1900,6
USA,1901,1
USA,1902,3
USA,1903,2
USA,1904,4
USA,1905,6
USA,1906,7
USA,1907,5
USA,1908,4
USA,1909,6
USA,1910,3
USA,1911,8
USA,1912,2
USA,1913,6
USA,1914,5
USA,1915,2
USA,1916,12
USA,1917,4
USA,1918,1
USA,1919,4
USA,1920,2
USA,1922,6
USA,1923,3
USA,1924,4
USA,1925,5
USA,1926,5
USA,1927,1
USA,1928,7
USA,1929,5
USA,1930,4
USA,1931,11
USA,1932,5
USA,1933,7
USA,1934,2
USA,1935,5
USA,1936,7
USA,1937,3
USA,1938,4
USA,1939,4
USA,1940,3
USA,1941,6
USA,1942,1
USA,1943,7
USA,1944,3
USA,1945,2
USA,1947,3
USA,1948,5
USA,1949,2
USA,1950,9
USA,1951,2
USA,1952,11
USA,1953,11
USA,1954,9
USA,1955,13
USA,1956,9
USA,1957,10
USA,1958,15
USA,1959,27
USA,1960,25
USA,1961,17
USA,1962,21
USA,1963,11
USA,1964,14
USA,1965,14
USA,1966,16
USA,1967,9
USA,1968,15
USA,1969,15
USA,1970,9
USA,1971,5
USA,1972,9
USA,1973,4
USA,1974,13
USA,1975,20
USA,1976,18
USA,1977,8
USA,1978,9
USA,1979,9
USA,1980,9
USA,1981,27
USA,1982,22
USA,1983,22
USA,1984,21
USA,1985,21
USA,1986,15
USA,1987,15
USA,1988,26
USA,1989,25
USA,1990,20
USA,1991,22
USA,1992,24
USA,1993,22
USA,1994,24
USA,1995,49
USA,1996,27
USA,1997,28
USA,1998,26
USA,1999,36
USA,2e3,52
USA,2001,58
USA,2002,49
USA,2003,57
USA,2004,35
USA,2005,52
USA,2006,54
USA,2007,66
USA,2008,60
USA,2009,41
USA,2010,40
USA,2011,48
USA,2012,64
USA,2013,60
USA,2014,66
USA,2015,73
USA,2016,64
USA,2017,65
USA,2018,36
